cohort,grade
class4,100
class4,50
class4,100
class4,70
class4,15
class4,90
class4,60
class4,60
class4,100
class4,100
class4,30
class4,10
class4,60
class4,50
class4,100
class4,10
class4,30
class4,100
class4,100
class4,50
class4,35
class4,100
class4,100
class4,100
class3,100
class3,100
class3,100
class3,70
class3,100
class3,40
class3,100
class3,100
class3,50
class3,100
class3,100
class3,60
class3,100
class3,90
class3,100
class3,40
class3,100
class3,50
class3,30
class3,70
class3,80
class3,90
class2,90
class2,100
class2,100
class2,100
class2,60
class2,50
class2,100
class2,100
class2,100
class2,100
class2,100
class2,50
class2,100
class2,100
class2,50
class2,80
class2,100
class2,100
class2,50
class2,100
class2,100
class2,50
class1,100
class1,60
class1,95
class1,80
class1,100
class1,100
class1,45
class1,100
class1,100
class1,40
class1,90
class1,100
class1,60
class1,80
class1,100
class1,100
class1,100
class1,100
class1,100
class1,100
class1,100
class1,10
class1,20
class1,100
class1,100
